Instance,NÂº Tasks,Time,BKS,1,2,3,4,5,6,7,8,9,10
O6_g-2,7831,1115.68333333333,3459355,3472943,3473847,3492449,3502768,3490030,3493055,3493171,3499868,3489504,3494098
O6_g-6,7831,1115.68333333333,2239678,2239691,2222437,2231383,2229562,2224872,2243914,2230036,2212261,2214542,2215546
O1_p-2,8220,1161.65,2484393,2470306,2457985,2447884,2466404,2464065,2470278,2463144,2456482,2467717,2449952
O1_p-4,8220,1161.65,2173807,2151592,2148345,2155677,2151100,2142244,2144171,2167538,2154478,2155814,2148628
K5_g-2,8267,1330.58333333333,5822825,5877932,5892429,5904570,5897577,5857908,5891656,5870543,5906590,5866269,5858304
K5_g-6,8267,1330.58333333333,3406571,3431434,3451447,3411827,3418377,3410838,3407463,3387872,3417020,3441641,3420208
K2_g-2,8563,1357.53333333333,6033790,6098372,6090927,6091567,6090628,6085692,6088221,6048626,6069154,6076422,6088161
K2_g-4,8563,1357.53333333333,4293975,4295303,4284480,4280655,4249160,4266405,4245472,4275244,4286596,4268830,4271221
K1_g-2,8566,1358,6274277,6289012,6285566,6306554,6274948,6264287,6291690,6277267,6287092,6279450,6268675
K1_g-6,8566,1358,3541665,3543686,3576225,3564582,3561130,3565004,3562602,3555896,3546952,3549676,3562668
O1_g-4,8581,1199.68333333333,3260611,3239405,3241606,3250530,3243145,3230733,3239468,3247892,3256017,3237603,3237981
O1_g-6,8581,1199.68333333333,2664709,2651563,2652050,2631298,2647939,2656416,2650152,2651954,2652040,2649303,2655373
