Instance,NÂº Tasks,Cost ,BKS,1,2,3,4,5,6,7,8,9,10
O6_g-2,7831,1115.68333333333,3459355,3557595,3577382,3566981,3557457,3564016,3578908,3569382,3562368,3571184,3571382
O6_g-6,7831,1115.68333333333,2239678,2274775,2272534,2276963,2294598,2289670,2280800,2295733,2270350,2299832,2271470
O1_p-2,8220,1161.65,2484393,2519512,2554498,2536440,2513761,2535944,2542494,2505481,2551062,2551498,2530079
O1_p-4,8220,1161.65,2173807,2202057,2211266,2201136,2211736,2197786,2177085,2197063,2205527,2201241,2174042
K5_g-2,8267,1330.58333333333,5822825,6071232,6040854,6078430,6080792,6048268,6043528,6065914,6068816,6045156,6023262
K5_g-6,8267,1330.58333333333,3406571,3491939,3480387,3487987,3486438,3512437,3486955,3508378,3496083,3524757,3487129
K2_g-2,8563,1357.53333333333,6033790,6295714,6283656,6288702,6280247,6311476,6316387,6301849,6311258,6277462,6328165
K2_g-4,8563,1357.53333333333,4293975,4408973,4386288,4397623,4370415,4411761,4389871,4388690,4368314,4376926,4390502
K1_g-2,8566,1358,6274277,6536621,6538951,6520168,6487740,6531948,6487760,6488990,6510202,6476890,6480096
K1_g-6,8566,1358,3541665,3655671,3633578,3664569,3647291,3631109,3655788,3645327,3644091,3632855,3670794
O1_g-4,8581,1199.68333333333,3260611,3350053,3364636,3353882,3340215,3342830,3363031,3339128,3349206,3372717,3340495
O1_g-6,8581,1199.68333333333,2664709,2745597,2746602,2723314,2693730,2709584,2749549,2744657,2721873,2733389,2718014
