Instance,NÂº Tasks,UB,1,2,3,4,5,6,7,8,9,10
Lpr-a-01,52,13484,13484,13484,13484,13484,13484,13484,13484,13484,13484,13484
Lpr-a-02,104,28052,28052,28052,28052,28052,28052,28052,28052,28052,28052,28052
Lpr-a-03,304,76155,76128,76127,76129,76129,76120,76115,76120,76131,76135,76120
Lpr-a-04,503,127352,127111,127205,127233,127226,127253,127201,127248,127211,127118,127169
Lpr-a-05,806,205499,204532,204590,204876,204658,204695,204605,204491,204856,204679,204706
Lpr-b-01,50,14835,14835,14835,14835,14835,14835,14835,14835,14835,14835,14835
Lpr-b-02,101,28654,28654,28654,28654,28654,28654,28654,28654,28654,28654,28654
Lpr-b-03,305,77878,77859,77878,77859,77878,77859,77859,77859,77859,77859,77867
Lpr-b-04,501,127454,127160,127254,127225,127257,127228,127155,127207,127223,127202,127128
Lpr-b-05,801,211771,211173,210982,211422,211104,210937,210980,211293,210955,210920,211237
Lpr-c-01,50,18639,18639,18639,18639,18639,18639,18639,18639,18639,18639,18639
Lpr-c-02,100,36339,36339,36339,36339,36339,36339,36339,36339,36339,36339,36339
Lpr-c-03,302,111632,111428,111479,111396,111382,111346,111415,111449,111452,111468,111421
Lpr-c-04,504,169254,169216,169053,169101,169070,169134,168996,169142,169153,169083,169122
Lpr-c-05,803,259937,258897,258835,258896,258972,258688,258779,258784,258853,258751,258891
